row_insert_order,PreviousDayDate,Symbol_Input,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,trailingPE,forwardPE,symbol,shortName,longName,industry,sector,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson,sector_rank,industry_rank
688504,2025-12-01 18:53:23,1STCUS.BO,6.0,,,,,,86400.0,2.0,92.99,83.02,92.99,1.0,1.09,1758153600.0,0.3704,,-0.381,2895.0,2895.0,614.0,0.02484,0.026619999,,26837088.0,110.9002,1.0,0.010869565,108248144.0,557276.0,1500000.0,0.62872005,0.0,1500000.0,103.096,0.81244665,-0.957,2.7,,-0.4177215,1.0,1758153600.0,BSE,EQUITY,28920190.0,19.466,,482648.0,464.0,464.0,125640000.0,71.0,172.05,8.412031,89.6532,5.744,5.744,14935750.0,0.315,10.053,-0.957,-0.719,0.86849,0.0,0.09463,0.27069,92.0,92.99,83.02,92.99,92.0,31.022223,,1STCUS.BO,FIRST CUSTODIAN FUND (INDIA) L,The First Custodian Fund (I) Ltd.,Capital Markets,Financial Services,83.76,,,,,,none,,-8.96,2.6,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Highly Profitable with margins > 20%,Hold,Trading near its 52-week low (bearish momentum),13,12
688505,2025-12-01 18:53:23,20MICRONS.BO,411.0,,,,,,86400.0,2.0,180.05,180.05,194.95,1.25,0.65,1753315200.0,0.070700005,,0.583,2283.0,2283.0,8013.0,0.09020001,0.14787,69552752.0,984796992.0,216.4295,0.0,0.0,7872038912.0,14074747.0,35286502.0,0.56667,0.00016000001,35286503.0,128.709,1.4890178,0.06,17.68,,-0.21311474,1.25,1753315200.0,BSE,EQUITY,583459968.0,16.503,1175332992.0,1633657984.0,5256.0,5256.0,6762658304.0,158.0,284.1,0.73503673,209.094,0.924,1.782,9200436224.0,35.637,260.792,0.058,-0.039,0.47194,0.12775,0.11436,0.067779996,192.0,180.05,180.05,194.95,192.0,10.8399315,,20MICRONS.BO,20 MICRONS LTD.,20 Microns Limited,Other Industrial Metals & Mining,Basic Materials,191.65,,,,,,none,,-0.18,3.7,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,10,2
688506,2025-12-01 18:53:23,21STCENMGM.BO,10.0,,,,,,86400.0,2.0,39.31,39.31,40.1,2.5,4.18,1721952000.0,0.0,,0.561,6533.0,6533.0,1799.0,-0.13921,-0.28151,186043120.0,-345291008.0,61.4364,0.0,0.0,408061152.0,2995000.0,10500000.0,0.6443,0.0,10500000.0,45.206,0.88705033,,-19.14,,-0.5776584,2.5,1721952000.0,BSE,EQUITY,4825000.0,0.459,-172231008.0,0.0,1506.0,1506.0,421049984.0,38.62,102.59,-3.100972,48.1544,5.25,7.873,-135780000.0,,-12.936,,,0.0,0.0,1.09396,0.0,39.32,39.31,39.31,40.1,39.32,,,21STCENMGM.BO,TWENTYFIRST CENTURY MANAGEMENT,Twentyfirst Century Management Services Limited,Capital Markets,Financial Services,40.1,,,,,,none,,1.98,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),2,2
688507,2025-12-01 18:53:23,360ONE.BO,1207.0,,,,,,86400.0,2.0,1186.2,1182.2,1198.75,12.0,1.02,1761523200.0,0.21700001,3.12,0.325,11595.0,11595.0,34698.0,0.07476,0.16991,-21868011520.0,-26675300352.0,1047.9565,12.0,0.010159161,602602340352.0,257896810.0,405057728.0,0.17489,0.62571996,405057729.0,231.141,5.144479,0.285,27.64,,0.031300426,6.0,1761523200.0,BSE,EQUITY,12794300416.0,31.633,25011400704.0,137646702592.0,42324.0,42324.0,481654145024.0,766.05,1317.25,12.214061,1100.771,0.643,3.157,39434399744.0,147.235,100.2,0.168,0.244,0.72323,0.63425,0.60828996,0.28559,1181.2,1186.2,1182.2,1198.75,1181.2,43.020985,33.278378,360ONE.BO,360 ONE WAM LIMITED,360 One Wam Limited,Asset Management,Financial Services,1189.1,1615.0,1220.0,1356.8182,1350.0,1.45455,strong_buy,11.0,0.67,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Buy,Trading near its 52-week high (bullish momentum),10,8
688508,2025-12-01 18:53:23,3IINFOLTD.BO,4552.0,,,,,,86400.0,2.0,16.97,16.77,17.33,,,1309996800.0,0.0,3.81,0.013,73994.0,73994.0,91839.0,-0.017,0.23164,54400000.0,268700000.0,22.93905,0.0,0.0,2895476736.0,161441431.0,207396267.0,0.118669994,0.00207,207396267.0,18.252,0.92373437,,3.94,,-0.40393394,1.5,1309996800.0,BSE,EQUITY,455400000.0,2.545,-191500000.0,347900000.0,35435.0,35435.0,3496701184.0,16.32,35.0,0.48983696,19.5506,0.869,1.327,7138500096.0,10.763,41.811,,-0.015,0.09585,-0.02683,-0.05867,0.09835,16.97,16.97,16.77,17.33,16.97,4.2791877,,3IINFOLTD.BO,3I INFOTECH LTD.,,Information Technology Services,Technology,16.86,,,,,,none,,-0.65,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),11,10
688509,2025-12-01 18:53:23,3MINDIA.BO,1213.0,,,,,,86400.0,2.0,34945.0,34655.05,34980.0,160.0,0.46,1753401600.0,0.32529998,,-0.046,101.0,101.0,345.0,0.19186,0.33832002,5096061952.0,5931417088.0,29938.092,0.0,0.0,386343632896.0,2649559.0,11265070.0,0.7648,0.09382,11265071.0,1429.572,24.291258,0.43,493.5,680.5,0.09647477,535.0,1753401600.0,BSE,EQUITY,6194625024.0,549.894,8733680640.0,1033188992.0,198.0,198.0,391191986176.0,25714.35,36958.0,8.234502,31750.56,1.525,2.281,47506456576.0,6.416,4217.117,0.43,0.14,0.41501,0.18384,0.19014,0.11665,34753.7,34945.0,34655.05,34980.0,34753.7,70.366974,51.030273,3MINDIA.BO,3M INDIA LTD.,3M India Limited,Conglomerates,Industrials,34726.1,35700.0,35700.0,35700.0,35700.0,,none,1.0,-0.08,2.5,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Buy,Trading near its 52-week high (bullish momentum),15,12
688510,2025-12-01 18:53:23,3PLAND.BO,1.0,,,,,,86400.0,2.0,45.5,38.4,45.5,,,1282089600.0,0.0,,-0.331,229.0,229.0,2750.0,,,,5711000.0,45.04285,0.0,0.0,715840000.0,3679200.0,18000000.0,0.80727,0.0,18000000.0,93.033,0.42898756,0.042,1.18,,-0.37862265,0.2,1282089600.0,BSE,EQUITY,2000000.0,0.111,28478000.0,0.0,9572.0,9572.0,718379968.0,36.65,81.92,15.764664,42.4354,0.909,97.364,45569000.0,,2.537,0.038,0.023,1.0,0.62494,0.74719,0.46527,39.88,45.5,38.4,45.5,39.88,33.822037,,3PLAND.BO,3P LAND HOLDINGS LTD.,3P Land Holdings Limited,Real Estate Services,Real Estate,39.91,,,,,,none,,0.08,1.7,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Highly Profitable with margins > 20%,Hold,Trading near its 52-week low (bearish momentum),16,12
688511,2025-12-01 18:53:23,5PAISA.BO,539.0,,,,,,86400.0,2.0,332.5,327.0,335.95,,,,0.0,,0.157,6823.0,6823.0,116774.0,0.02546,0.07865,,-1264254976.0,367.087,0.0,0.0,505278368.0,10435484.0,31239338.0,0.57308,0.11568,31239338.0,200.815,1.6425565,-0.567,15.13,,-0.3190297,,,BSE,EQUITY,12819201024.0,411.006,,2905526016.0,569532.0,569532.0,10304295936.0,287.95,519.1,3.534759,329.919,6.932,6.992,2915133952.0,46.389,93.304,-0.565,-0.269,0.99968004,0.0,0.18379,0.16217,334.05,332.5,327.0,335.95,334.05,21.801058,,5PAISA.BO,5paisa Capital Limited,5paisa Capital Limited,Capital Markets,Financial Services,329.85,,,,,,none,,-1.26,1.8,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,Trading near its 52-week low (bearish momentum),20,17
688512,2025-12-01 18:53:23,63MOONS.BO,378.0,,,,,,86400.0,2.0,898.95,853.0,904.05,1.2,0.13,1758067200.0,0.3854,5.9,0.423,96799.0,96799.0,18344.0,-0.04561,-0.01773,-1200462080.0,-1651331968.0,840.50073,0.0,0.0,20525324288.0,18101870.0,46078537.0,0.5798,0.0049799997,46078537.0,757.762,1.1382202,,-7.07,,0.3221339,1.2,1758067200.0,BSE,EQUITY,22212327424.0,481.749,-2625664000.0,52994000.0,70576.0,70576.0,39742738432.0,591.0,1130.0,47.11524,812.009,8.641,9.924,843521984.0,0.148,18.306,,-0.466,-0.7051,0.0,-4.61615,-0.36594,907.05,898.95,853.0,904.05,907.05,,,63MOONS.BO,63 Moons Technologies Limited,63 moons technologies limited,Software - Application,Technology,862.5,,,,,,none,,-4.91,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,3,2
688513,2025-12-01 18:53:23,7NR.BO,,,,,,,86400.0,4.0,4.08,3.86,4.35,,,1568851200.0,0.0,,-0.266,76634.0,76634.0,73708.0,0.025880001,0.062030002,-33638752.0,-13355000.0,5.1691,0.0,0.0,154042656.0,20941953.0,28006800.0,0.23277001,0.0,28006800.0,10.524,0.38008362,,0.63,,-0.16367263,,,BSE,EQUITY,9597000.0,0.344,20206000.0,46594000.0,44584.0,44584.0,112027200.0,3.8,8.33,0.4350368,4.3398,0.921,3.684,257512000.0,15.849,9.195,,1.688,0.13972999,0.07847,0.10645001,0.06868,4.19,4.08,3.86,4.35,4.19,6.3492064,,7NR.BO,7NR Retail Limited,JPY/KMF,Apparel Retail,Consumer Cyclical,4.0,,,,,,none,,-4.53,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum),13,5
