row_insert_order,PreviousDayDate,Symbol_Input,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,trailingPE,forwardPE,symbol,shortName,longName,industry,sector,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson,sector_rank,industry_rank
172439,2026-04-01 19:59:23,1STCUS.BO,6.0,,,,,,86400.0,2.0,75.0,75.0,79.0,1.0,1.33,1758153600.0,0.3704,,-0.343,26.0,26.0,342.0,,,,,90.5459,0.0,0.0,82118008.0,552910.0,1500000.0,0.61355,0.0,1500000.0,103.096,0.7565764,,-1.55,,-0.2890995,1.0,1758153600.0,BSE,EQUITY,28920190.0,19.619,,482648.0,118.0,118.0,117000000.0,65.0,139.7,18.678905,78.0762,,,6263750.0,0.315,4.167,,-0.865,0.68641,0.0,-0.29438,-0.37103,75.0,75.0,75.0,79.0,75.0,,,1STCUS.BO,FIRST CUSTODIAN FUND (INDIA) L,The First Custodian Fund (I) Ltd.,Capital Markets,Financial Services,78.0,,,,,,none,,4.0,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),5,4
172440,2026-04-01 19:59:23,20MICRONS.BO,411.0,,,,,,86400.0,2.0,134.55,134.55,147.95,1.25,0.73,1753315200.0,0.0684,,0.369,13529.0,13529.0,32740.0,,,,,216.672,0.0,0.0,7029148160.0,14445335.0,35286502.0,0.54675996,0.00016000001,35286503.0,128.709,1.1436652,0.16,18.27,,-0.106589675,1.25,1753315200.0,BSE,EQUITY,583459968.0,16.541,1173447936.0,1633657984.0,6732.0,6732.0,5194173440.0,134.55,284.1,0.5644524,191.44,,,9202146304.0,35.637,260.903,0.162,0.001,0.47129002,0.12752,0.10623,0.07001,133.8,134.55,134.55,147.95,133.8,8.056924,,20MICRONS.BO,20 MICRONS LTD.,20 Microns Limited,Other Industrial Metals & Mining,Basic Materials,147.2,,,,,,none,,10.01,4.1,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,Trading near its 52-week low (bearish momentum),5,1
172441,2026-04-01 19:59:23,21STCENMGM.BO,10.0,,,,,,86400.0,2.0,29.25,29.25,29.25,,,1721952000.0,0.0,,0.425,451.0,451.0,703.0,,,,,50.5168,0.0,0.0,308444704.0,2994329.0,10500000.0,0.72415,0.0,10500000.0,45.206,0.647038,,-21.38,,-0.56627905,2.5,1721952000.0,BSE,EQUITY,4825000.0,0.46,-200763744.0,0.0,1202.0,1202.0,307124992.0,29.25,81.45,-2.0794826,38.1536,,,-147692992.0,,-14.069,,,0.0,0.0,1.66225,0.0,29.84,29.25,29.25,29.25,29.84,,,21STCENMGM.BO,TWENTYFIRST CENTURY MANAGEMENT,Twentyfirst Century Management Services Limited,Capital Markets,Financial Services,29.25,,,,,,none,,-1.98,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),16,14
172442,2026-04-01 19:59:23,360ONE.BO,1207.0,,,,,,86400.0,2.0,979.65,950.35,981.45,12.0,1.27,1761523200.0,0.42110002,2.84,0.236,167751.0,167751.0,70786.0,,,,,1111.6813,12.0,0.012660231,508778577920.0,259746095.0,406138438.0,0.17875,0.68751997,406138438.0,231.141,4.1182656,0.184,28.53,35.7386,0.06416297,6.0,1761523200.0,BSE,EQUITY,12794300416.0,31.587,26159175680.0,137646702592.0,44692.0,44692.0,386603188224.0,766.05,1272.95,9.141521,1092.829,,,42290900992.0,147.235,105.875,0.124,0.306,0.72015,0.61855,0.59264,0.27832,947.85,979.65,950.35,981.45,947.85,33.36488,26.635067,360ONE.BO,360 ONE WAM LIMITED,360 One Wam Limited,Asset Management,Financial Services,951.9,1700.0,1300.0,1396.7273,1380.0,,none,11.0,0.43,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,No strong momentum,13,8
172443,2026-04-01 19:59:23,3IINFOLTD.BO,4552.0,,,,,,86400.0,2.0,13.85,13.85,14.5,,,1309996800.0,0.0,3.81,-0.535,57903.0,57903.0,57950.0,,,,,19.25095,0.0,0.0,2545672704.0,175674545.0,207403767.0,0.11883,0.00223,207403768.0,18.252,0.78238,-0.947,3.0,,-0.38731146,1.5,1309996800.0,BSE,EQUITY,455400000.0,2.341,-237624992.0,347900000.0,148085.0,148085.0,2961725952.0,12.61,27.43,0.4203534,14.329,,,7045799936.0,10.763,11.765,-0.954,-0.051,0.09718,-0.03373,-0.0287,0.07819,13.81,13.85,13.85,14.5,13.81,4.7599998,,3IINFOLTD.BO,3I INFOTECH LTD.,,Information Technology Services,Technology,14.28,,,,,,none,,3.4,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),11,11
172444,2026-04-01 19:59:23,3MINDIA.BO,1213.0,,,,,,86400.0,2.0,30999.55,29136.1,31210.0,160.0,0.53,1753401600.0,0.4764,,0.027,253.0,253.0,394.0,,,,,32418.36,0.0,0.0,333926105088.0,2649315.0,11265070.0,0.7648,0.09639,11265071.0,1429.572,20.584307,,337.16,659.9,0.05078268,535.0,1753401600.0,BSE,EQUITY,6194625024.0,549.944,9462075392.0,1033188992.0,1244.0,1244.0,331494424576.0,26800.05,38300.0,6.780762,34538.914,,,48887488512.0,6.416,4339.756,,0.127,0.42343,0.19354999,0.17493999,0.07739,30103.4,30999.55,29136.1,31210.0,30103.4,87.2783,44.59274,3MINDIA.BO,3M INDIA LTD.,3M India Limited,Conglomerates,Industrials,29426.75,36726.0,36726.0,36726.0,36726.0,2.0,buy,1.0,-2.25,2.2,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum),19,12
172445,2026-04-01 19:59:23,3PLAND.BO,1.0,,,,,,86400.0,2.0,30.52,30.52,31.95,,,1282089600.0,0.0,,-0.681,225.0,225.0,1050.0,,,,,41.8511,0.0,0.0,516909088.0,3745818.0,18000000.0,0.80564004,0.0,18000000.0,93.033,0.32805565,0.039,1.19,,-0.26932925,0.2,1282089600.0,BSE,EQUITY,2000000.0,0.11,28110500.0,0.0,1237.0,1237.0,549360000.0,26.41,58.69,11.976716,33.4714,,,45869000.0,,2.564,0.048,0.041,1.0,0.61284,0.54639,0.46441,28.54,30.52,30.52,31.95,28.54,25.647058,,3PLAND.BO,3P LAND HOLDINGS LTD.,3P Land Holdings Limited,Real Estate Services,Real Estate,30.52,,,,,,none,,6.94,2.1,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Highly Profitable with margins > 20%,Hold,Trading near its 52-week low (bearish momentum),15,11
172446,2026-04-01 19:59:23,5PAISA.BO,539.0,,,,,,86400.0,2.0,251.8,251.8,273.05,,,,0.0,,0.183,9416.0,9416.0,8492.0,,,,,347.5035,0.0,0.0,-2165551616.0,10262986.0,31251838.0,0.64777,0.11598,31251839.0,200.815,1.3425292,-0.24,13.9,,-0.32517672,,,BSE,EQUITY,12819201024.0,410.645,,2905526016.0,5525.0,5525.0,8425496064.0,245.0,431.8,2.9799428,319.485,,,2827401984.0,46.389,90.503,-0.237,-0.11,0.99967,0.0,0.23244,0.15349,248.2,251.8,251.8,273.05,248.2,19.395685,,5PAISA.BO,5paisa Capital Limited,5paisa Capital Limited,Capital Markets,Financial Services,269.6,,,,,,none,,8.62,2.2,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,Trading near its 52-week low (bearish momentum),19,16
172447,2026-04-01 19:59:23,63MOONS.BO,378.0,,,,,,86400.0,2.0,479.4,475.2,511.5,1.2,0.26,1758067200.0,0.3854,5.9,0.28,9293.0,9293.0,16937.0,,,,,805.577,0.0,0.0,318974976.0,18065790.0,46078537.0,0.58002,0.00492,46078537.0,757.762,0.6650505,,-7.0,,-0.42163926,1.2,1758067200.0,BSE,EQUITY,22212327424.0,482.564,-2638206720.0,52994000.0,20438.0,20438.0,23221278720.0,465.55,1130.0,23.352543,606.004,,,994379008.0,0.148,21.587,,1.281,-0.58775,-2.65312,-2.67391,-0.34127998,469.6,479.4,475.2,511.5,469.6,,,63MOONS.BO,63 Moons Technologies Limited,63 moons technologies limited,Software - Application,Technology,503.95,,,,,,none,,7.31,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum),2,2
172448,2026-04-01 19:59:23,7NR.BO,,,,,,,86400.0,4.0,3.03,3.0,3.4,,,1568851200.0,0.0,,-0.47,25129.0,25129.0,31335.0,,,,,4.75445,0.0,0.0,121018080.0,20919308.0,28006800.0,0.21891001,0.0,28006800.0,10.524,0.32117066,-0.004,0.63,,-0.2536946,,,BSE,EQUITY,9597000.0,0.346,15302250.0,46594000.0,60833.0,60833.0,94662984.0,2.75,8.33,0.33854154,3.5836,,,279620000.0,15.849,9.987,0.0,4.421,0.08991,0.05473,0.00103,0.06324,3.03,3.03,3.0,3.4,3.03,5.3650794,,7NR.BO,7NR Retail Limited,JPY/KMF,Apparel Retail,Consumer Cyclical,3.38,,,,,,none,,11.55,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum),14,3
