row_insert_order,PreviousDayDate,Symbol_Input,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,trailingPE,forwardPE,symbol,shortName,longName,industry,sector,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson,sector_rank,industry_rank
351982,2026-07-01 21:06:43,1STCUS.BO,,,,,,,86400.0,2.0,65.1,65.0,71.05,1.0,1.39,1758153600.0,0.3704,,-0.189,91.0,91.0,219.0,-0.01736,-0.01777,,-1233063.0,81.0804,0.0,0.0,80226208.0,556774.0,1500000.0,0.61355,0.0,1500000.0,101.591,0.6988808,,-1.81,,-0.36842108,1.0,1758153600.0,BSE,EQUITY,27044792.0,18.22,,395996.0,96.0,96.0,106500000.0,63.0,119.0,22.97239,73.524,45.745,55.613,4636000.0,0.263,3.088,,-0.553,1.0,0.0,-0.27583998,-0.58607,72.0,65.1,65.0,71.05,72.0,,,1STCUS.BO,FIRST CUSTODIAN FUND (INDIA) L,The First Custodian Fund (I) Ltd.,Capital Markets,Financial Services,71.0,,,,,,none,,-1.39,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),4,4
351983,2026-07-01 21:06:43,20MICRONS.BO,411.0,,,,,,86400.0,2.0,204.55,198.5,205.0,1.25,0.73,1753315200.0,0.0684,,0.369,9083.0,9083.0,32740.0,,,,,216.672,0.0,0.0,7029148160.0,14445335.0,35286502.0,0.54675996,0.00016000001,35286503.0,128.709,1.5469004,0.16,18.27,,-0.106589675,1.25,1753315200.0,BSE,EQUITY,583459968.0,16.541,1173447936.0,1633657984.0,6732.0,6732.0,7025543168.0,158.0,284.1,0.7634679,191.44,,,9202146304.0,35.637,260.903,0.162,0.001,0.47129002,0.12752,0.10623,0.07001,200.65,204.55,198.5,205.0,200.65,10.897647,,20MICRONS.BO,20 MICRONS LTD.,20 Microns Limited,Other Industrial Metals & Mining,Basic Materials,199.1,,,,,,none,,-0.77,3.7,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,7,2
351984,2026-07-01 21:06:43,21STCENMGM.BO,,,,,,,86400.0,2.0,32.33,32.33,33.39,,,1721952000.0,0.0,,0.571,91.0,91.0,1189.0,-0.30996,-0.57208,13173875.0,-23686000.0,40.41185,0.0,0.0,310755968.0,2895772.0,10500000.0,0.72415,0.0,10500000.0,31.49,1.0266752,,-22.9,,-0.44627267,2.5,1721952000.0,BSE,EQUITY,35456000.0,3.378,-239438000.0,0.0,1305.0,1305.0,339465024.0,28.62,64.35,-2.011299,33.6578,1.522,2.928,-168779008.0,,-16.073,,,0.0,0.0,1.32821,0.0,32.98,32.33,32.33,33.39,32.98,,,21STCENMGM.BO,TWENTYFIRST CENTURY MANAGEMENT,Twentyfirst Century Management Services Limited,Capital Markets,Financial Services,32.33,,,,,,none,,-1.97,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,Trading near its 52-week low (bearish momentum),14,14
351985,2026-07-01 21:06:43,360ONE.BO,,,,,,,86400.0,2.0,1071.6,1061.9,1084.15,18.0,1.68,1777248000.0,0.4111,2.59,0.391,1161034.0,1161034.0,218146.0,0.07098,0.14392,14332699648.0,-29210599424.0,1098.4368,12.0,0.011169544,580182343680.0,262043715.0,406685017.0,0.16944,0.67557997,406685017.0,242.533,4.402287,0.157,29.22,41.57586,-0.0886457,6.0,1777248000.0,BSE,EQUITY,14815899648.0,36.534,28223399936.0,159313100800.0,77736.0,77736.0,434217582592.0,906.2,1272.95,9.698288,1091.884,2.515,13.022,44772601856.0,161.977,111.032,0.11,0.269,0.72758,0.63036996,0.57660997,0.27163,1074.35,1071.6,1061.9,1084.15,1074.35,36.54004,25.680767,360ONE.BO,360 ONE WAM LIMITED,360 One Wam Limited,Asset Management,Financial Services,1067.7,1525.0,1200.0,1322.4546,1300.0,,none,11.0,-0.62,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,No strong momentum,12,5
351986,2026-07-01 21:06:43,3IINFOLTD.BO,,,,,,,86400.0,2.0,17.69,17.12,17.69,,,1309996800.0,0.0,3.81,-0.18,9642.0,9642.0,38666.0,-0.0382,0.10256,201337504.0,-435800000.0,16.963394,0.0,0.0,3472773632.0,193185282.0,207403767.0,0.13338,0.00225,207403767.0,17.827,0.9637068,,1.82,,-0.30763018,14.210196,1309996800.0,BSE,EQUITY,776000000.0,3.629,-180000000.0,615699968.0,29360.0,29360.0,3563196672.0,12.61,26.47,0.5139028,17.4066,0.754,1.131,6933600256.0,16.298,35.783,,-0.06,0.08254,-0.02596,-0.08226,0.05114,17.15,17.69,17.12,17.69,17.15,9.43956,,3IINFOLTD.BO,3I INFOTECH LTD.,,Information Technology Services,Technology,17.18,,,,,,none,,0.17,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,No strong momentum,12,11
351987,2026-07-01 21:06:43,3MINDIA.BO,,,,,,,86400.0,2.0,33415.0,33105.0,33560.05,160.0,0.49,1784160000.0,0.3451,,0.273,332.0,332.0,273.0,0.18757,0.289,4592943104.0,5137200128.0,33057.426,160.0,0.004857191,366318583808.0,2661810.0,11265070.0,0.7648,0.09645,11265070.0,1562.354,21.410545,2.031,464.47,753.4,0.15832698,506.0,1784246400.0,BSE,EQUITY,8177800192.0,722.598,9857599488.0,1697500032.0,274.0,274.0,376826200064.0,28400.0,38300.0,7.403614,32450.121,1.422,2.182,50897600512.0,9.6,4518.146,2.018,0.168,0.42368,0.19368,0.17216998,0.10262,32940.85,33415.0,33105.0,33560.05,32940.85,72.0194,44.399853,3MINDIA.BO,3M INDIA LTD.,3M India Limited,Conglomerates,Industrials,33450.85,36726.0,36726.0,36726.0,36726.0,,none,1.0,1.55,2.5,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,18,10
351988,2026-07-01 21:06:43,3PLAND.BO,,,,,,,86400.0,2.0,31.4,31.4,32.78,,,1282089600.0,0.0,,-0.313,418.0,418.0,330.0,0.01368,0.01784,-4412500.0,600000.0,36.30105,0.0,0.0,573217344.0,3762104.0,18000000.0,0.80564004,0.0,18000000.0,57.314,0.57176256,0.125,1.21,,-0.38763607,0.2,1282089600.0,BSE,EQUITY,2000000.0,0.11,29800000.0,0.0,260.0,260.0,589860032.0,26.41,54.0,12.630836,32.9186,1.667,185.083,46700000.0,,2.592,0.095,0.091,1.0,0.63812,0.55446,0.46681,31.5,31.4,31.4,32.78,31.5,27.082644,,3PLAND.BO,3P LAND HOLDINGS LTD.,3P Land Holdings Limited,Real Estate Services,Real Estate,32.77,,,,,,none,,4.03,2.1,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Highly Profitable with margins > 20%,Hold,Trading near its 52-week low (bearish momentum),18,9
351989,2026-07-01 21:06:43,5PAISA.BO,,,,,,,86400.0,2.0,351.0,351.0,379.8,,,,0.0,,0.538,8643.0,8643.0,3980.0,0.02473,0.070539996,,-1037056000.0,325.61224,0.0,0.0,728001280.0,17284169.0,46879257.0,0.71242,0.12337,46879257.0,207.533,1.7498422,0.078,14.15,,-0.14173609,,,BSE,EQUITY,14177139712.0,453.19,,3785600000.0,5115.0,5115.0,17024201728.0,245.0,431.05,5.9243217,325.747,4.832,4.862,2873612032.0,58.31,91.96,0.079,0.064,1.0,0.0,0.19001,0.15376,355.45,351.0,351.0,379.8,355.45,25.66431,,5PAISA.BO,5paisa Capital Limited,5paisa Capital Limited,Capital Markets,Financial Services,363.15,,,,,,none,,2.17,2.1,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,18,17
351990,2026-07-01 21:06:43,63MOONS.BO,,,,,,,86400.0,2.0,659.35,655.0,678.65,1.2,0.18,1758067200.0,0.3854,5.9,0.722,5792.0,5792.0,13642.0,-0.05193,-0.0152,-2795436032.0,-2929723904.0,699.73376,2.0,0.003057169,11631344640.0,18093971.0,46078537.0,0.58128,0.00487,46078537.0,770.436,0.8620444,1.046,-4.84,,-0.34221506,1.2,1758067200.0,BSE,EQUITY,19559452672.0,424.268,-2816858880.0,54222000.0,6463.0,6463.0,30603061248.0,465.55,1130.0,14.463139,674.82,9.925,11.277,2115934976.0,0.149,45.934,1.043,5.195,0.030989999,-1.3312601,-0.63594,-0.10602,654.2,659.35,655.0,678.65,654.2,,,63MOONS.BO,63 Moons Technologies Limited,63 moons technologies limited,Software - Application,Technology,664.15,,,,,,none,,1.52,4.1,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,2,1
351991,2026-07-01 21:06:43,7NR.BO,,,,,,,86400.0,2.0,5.6,5.56,5.75,,,1568851200.0,0.0,,0.54,33553.0,33553.0,185361.0,-0.01454,0.00513,-6718000.0,-18183000.0,4.41305,0.0,0.0,203248000.0,23572762.0,28006800.0,0.15712,0.0,28006800.0,10.104,0.5591845,,0.05,,-0.26288658,0.037128,1568851200.0,BSE,EQUITY,9406000.0,0.326,-7976000.0,47450000.0,503807.0,503807.0,158238416.0,2.75,8.33,1.2518663,5.6724,1.408,5.965,126402000.0,16.259,4.233,,,0.13539,-0.0631,3.2842498,0.01181,5.72,5.6,5.56,5.75,5.72,113.0,,7NR.BO,7NR Retail Limited,JPY/KMF,Apparel Retail,Consumer Cyclical,5.65,,,,,,none,,-1.22,1.0,Strong Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,No strong momentum,30,10
