row_insert_order,PreviousDayDate,Symbol_Input,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,trailingPE,forwardPE,symbol,shortName,longName,industry,sector,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson,sector_rank,industry_rank
288178,2026-06-02 22:49:41,1STCUS.BO,6.0,,,,,,86400.0,2.0,75.0,70.0,75.0,1.0,1.42,1758153600.0,0.3704,,-0.128,49.0,49.0,285.0,,,,,83.35345,0.0,0.0,75234080.0,552910.0,1500000.0,0.61355,0.0,1500000.0,103.096,0.7274773,,-1.55,,-0.3571064,1.0,1758153600.0,BSE,EQUITY,28920190.0,19.619,,482648.0,220.0,220.0,112500000.0,65.0,139.7,17.960487,76.6524,,,6263750.0,0.315,4.167,,-0.865,0.68641,0.0,-0.29438,-0.37103,75.54,75.0,70.0,75.0,75.54,,,1STCUS.BO,FIRST CUSTODIAN FUND (INDIA) L,The First Custodian Fund (I) Ltd.,Capital Markets,Financial Services,75.0,,,,,,none,,-0.71,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),4,4
288179,2026-06-02 22:49:41,20MICRONS.BO,411.0,,,,,,86400.0,2.0,181.1,181.1,185.6,1.25,0.73,1753315200.0,0.0684,,0.369,16016.0,16016.0,32740.0,,,,,216.672,0.0,0.0,7029148160.0,14445335.0,35286502.0,0.54675996,0.00016000001,35286503.0,128.709,1.4311353,0.16,18.27,,-0.106589675,1.25,1753315200.0,BSE,EQUITY,583459968.0,16.541,1173447936.0,1633657984.0,6732.0,6732.0,6499773952.0,158.0,284.1,0.7063324,191.44,,,9202146304.0,35.637,260.903,0.162,0.001,0.47129002,0.12752,0.10623,0.07001,181.9,181.1,181.1,185.6,181.9,10.082102,,20MICRONS.BO,20 MICRONS LTD.,20 Microns Limited,Other Industrial Metals & Mining,Basic Materials,184.2,,,,,,none,,1.26,3.7,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,Trading near its 52-week low (bearish momentum),8,2
288180,2026-06-02 22:49:41,21STCENMGM.BO,,,,,,,86400.0,2.0,34.89,34.75,34.89,,,1721952000.0,0.0,,0.624,6.0,6.0,1259.0,-0.30996,-0.57208,13173875.0,-23686000.0,42.63325,0.0,0.0,329336768.0,2994135.0,10500000.0,0.72415,0.0,10500000.0,31.49,1.1035249,,-21.38,,-0.4945954,2.5,1721952000.0,BSE,EQUITY,35456000.0,3.378,-239438000.0,0.0,1055.0,1055.0,364875008.0,28.62,69.52,-2.1618507,32.3646,1.522,2.928,-168779008.0,,-16.073,,,0.0,0.0,1.32821,0.0,34.6,34.89,34.75,34.89,34.6,,,21STCENMGM.BO,TWENTYFIRST CENTURY MANAGEMENT,Twentyfirst Century Management Services Limited,Capital Markets,Financial Services,34.75,,,,,,none,,0.43,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,Trading near its 52-week low (bearish momentum),15,15
288181,2026-06-02 22:49:41,360ONE.BO,,,,,,,86400.0,2.0,1061.9,1053.0,1093.15,18.0,1.67,1777248000.0,0.4111,2.68,0.389,15250.0,15250.0,217149.0,0.07098,0.14392,14332699648.0,-29210599424.0,1093.8645,12.0,0.011123986,586691182592.0,260908221.0,406486596.0,0.17862,0.76281,406486596.0,242.533,4.495883,0.157,29.23,41.57586,0.06312215,6.0,1777248000.0,BSE,EQUITY,14815899648.0,36.534,28223399936.0,159313100800.0,47966.0,47966.0,443232976896.0,906.2,1272.95,9.899648,1050.482,2.515,13.022,44772601856.0,161.977,111.032,0.11,0.269,0.72758,0.63036996,0.57660997,0.27163,1078.75,1061.9,1053.0,1093.15,1078.75,37.304142,26.226759,360ONE.BO,360 ONE WAM LIMITED,360 One Wam Limited,Asset Management,Financial Services,1090.4,1525.0,1200.0,1322.4546,1300.0,1.54545,buy,11.0,1.08,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,No strong momentum,12,6
288182,2026-06-02 22:49:41,3IINFOLTD.BO,,,,,,,86400.0,2.0,17.51,17.26,17.63,,,1309996800.0,0.0,3.81,-0.174,8045.0,8045.0,61705.0,-0.0382,0.10256,201337504.0,-435800000.0,17.570845,0.0,0.0,3524091136.0,193082647.0,207403767.0,0.13385999,0.00225,207403767.0,17.827,0.9754866,,1.82,,-0.29763335,14.210196,1309996800.0,BSE,EQUITY,776000000.0,3.629,-180000000.0,615699968.0,29225.0,29225.0,3606751232.0,12.61,27.43,0.52018446,16.3822,0.754,1.131,6933600256.0,16.298,35.783,,-0.06,0.08254,-0.02596,-0.08226,0.05114,17.51,17.51,17.26,17.63,17.51,9.554944,,3IINFOLTD.BO,3I INFOTECH LTD.,,Information Technology Services,Technology,17.39,,,,,,none,,-0.69,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,No strong momentum,12,10
288183,2026-06-02 22:49:41,3MINDIA.BO,,,,,,,86400.0,2.0,32510.35,32405.0,32799.0,160.0,0.49,1784160000.0,0.3451,,0.297,144.0,144.0,456.0,0.18757,0.289,4592943104.0,5137200128.0,32863.566,160.0,0.004900264,362359816192.0,2661810.0,11265070.0,0.7648,0.09641,11265070.0,1562.354,20.860222,2.031,463.65,753.4,0.09308791,506.0,1784160000.0,BSE,EQUITY,8177800192.0,722.598,9857599488.0,1697500032.0,469.0,469.0,367140470784.0,28300.0,38300.0,7.213316,31835.836,1.422,2.182,50897600512.0,9.6,4518.146,2.018,0.168,0.42368,0.19368,0.17216998,0.10262,32651.3,32510.35,32405.0,32799.0,32651.3,70.29236,43.25863,3MINDIA.BO,3M INDIA LTD.,3M India Limited,Conglomerates,Industrials,32591.05,36726.0,36726.0,36726.0,36726.0,2.0,buy,1.0,-0.18,2.5,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,18,12
288184,2026-06-02 22:49:41,3PLAND.BO,,,,,,,86400.0,2.0,31.1,31.0,32.21,,,1282089600.0,0.0,,,1219.0,1219.0,481.0,0.01368,0.01784,-4412500.0,600000.0,37.85265,0.0,0.0,564086912.0,3762104.0,18000000.0,0.80564004,0.0,18000000.0,57.314,0.5408801,0.125,1.21,,-0.39835936,0.2,1282089600.0,BSE,EQUITY,2000000.0,0.11,29800000.0,0.0,332.0,332.0,558000000.0,26.41,58.69,11.948608,33.2024,1.833,185.083,46700000.0,,2.592,0.095,0.091,1.0,0.63812,0.55446,0.46681,30.07,31.1,31.0,32.21,30.07,25.619833,,3PLAND.BO,3P LAND HOLDINGS LTD.,3P Land Holdings Limited,Real Estate Services,Real Estate,31.0,,,,,,none,,3.09,2.1,Buy,Hold,High Beta (more volatile)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Highly Profitable with margins > 20%,Hold,Trading near its 52-week low (bearish momentum),17,11
288185,2026-06-02 22:49:41,5PAISA.BO,,,,,,,86400.0,2.0,319.05,319.05,327.85,,,,0.0,,0.577,679.0,679.0,4051.0,0.02473,0.070539996,,-1037056000.0,329.72824,0.0,0.0,-197975424.0,17284169.0,46879257.0,0.71242,0.12318,46879257.0,207.533,1.5701118,0.078,14.12,,-0.20366275,,,BSE,EQUITY,14177139712.0,453.19,,3785600000.0,3820.0,3820.0,15275606016.0,245.0,431.8,5.3158207,309.147,4.832,4.862,2873612032.0,58.31,91.96,0.079,0.064,1.0,0.0,0.19001,0.15376,323.95,319.05,319.05,327.85,323.95,23.077196,,5PAISA.BO,5paisa Capital Limited,5paisa Capital Limited,Capital Markets,Financial Services,325.85,,,,,,none,,0.59,2.1,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,19,18
288186,2026-06-02 22:49:41,63MOONS.BO,,,,,,,86400.0,2.0,610.8,606.45,632.75,1.2,0.2,1758067200.0,0.3854,5.9,0.891,11057.0,11057.0,15648.0,-0.05193,-0.0152,-2795436032.0,-2929723904.0,729.9125,2.0,0.003260515,9750396928.0,18093971.0,46078537.0,0.58128,0.00491,46078537.0,770.436,0.8107098,1.046,-4.85,,-0.27188557,1.2,1758067200.0,BSE,EQUITY,19559452672.0,424.268,-2816858880.0,54222000.0,12766.0,12766.0,28780652544.0,465.55,1130.0,13.601861,624.365,9.925,11.277,2115934976.0,0.149,45.934,1.043,5.195,0.030989999,-1.3312601,-0.63594,-0.10602,613.4,610.8,606.45,632.75,613.4,,,63MOONS.BO,63 Moons Technologies Limited,63 moons technologies limited,Software - Application,Technology,624.6,,,,,,none,,1.83,4.1,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum),2,1
288187,2026-06-02 22:49:41,7NR.BO,,,,,,,86400.0,2.0,6.01,5.7,6.01,,,1568851200.0,0.0,,0.576,28417.0,28417.0,93431.0,-0.01454,0.00513,-6718000.0,-18183000.0,4.3454,0.0,0.0,205847360.0,21788443.0,28006800.0,0.2189,0.0,28006800.0,10.524,0.55207145,,0.63,,-0.21200001,0.037128,1568851200.0,BSE,EQUITY,9406000.0,0.326,-7976000.0,47450000.0,55581.0,55581.0,162719504.0,2.75,8.33,1.2873175,4.8194,1.408,5.965,126402000.0,16.259,4.233,,,0.13539,-0.0631,3.2842498,0.01181,5.91,6.01,5.7,6.01,5.91,9.222222,,7NR.BO,7NR Retail Limited,JPY/KMF,Apparel Retail,Consumer Cyclical,5.81,,,,,,none,,-1.69,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,No strong momentum,16,3
