row_insert_order,PreviousDayDate,Symbol_Input,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,trailingPE,forwardPE,symbol,shortName,longName,industry,sector,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson,sector_rank,industry_rank
236743,2026-05-04 20:23:59,1STCUS.BO,6.0,,,,,,86400.0,2.0,76.01,76.01,77.9,1.0,1.32,1758153600.0,0.3704,,-0.128,3.0,3.0,318.0,,,,,87.08355,0.0,0.0,83606824.0,552910.0,1500000.0,0.61355,0.0,1500000.0,103.096,0.7556064,,-1.54,,-0.3746606,1.0,1758153600.0,BSE,EQUITY,28920190.0,19.619,,482648.0,419.0,419.0,116850000.0,65.0,139.7,18.654959,78.7586,,,6263750.0,0.315,4.167,,-0.865,0.68641,0.0,-0.29438,-0.37103,76.01,76.01,76.01,77.9,76.01,,,1STCUS.BO,FIRST CUSTODIAN FUND (INDIA) L,The First Custodian Fund (I) Ltd.,Capital Markets,Financial Services,77.9,,,,,,none,,2.49,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),4,4
236744,2026-05-04 20:23:59,20MICRONS.BO,411.0,,,,,,86400.0,2.0,180.0,176.5,180.65,1.25,0.73,1753315200.0,0.0684,,0.369,4280.0,4280.0,32740.0,,,,,216.672,0.0,0.0,7029148160.0,14445335.0,35286502.0,0.54675996,0.00016000001,35286503.0,128.709,1.38413,0.16,18.27,,-0.106589675,1.25,1753315200.0,BSE,EQUITY,583459968.0,16.541,1173447936.0,1633657984.0,6732.0,6732.0,6286290432.0,158.0,284.1,0.68313307,191.44,,,9202146304.0,35.637,260.903,0.162,0.001,0.47129002,0.12752,0.10623,0.07001,176.45,180.0,176.5,180.65,176.45,9.7509575,,20MICRONS.BO,20 MICRONS LTD.,20 Microns Limited,Other Industrial Metals & Mining,Basic Materials,178.15,,,,,,none,,0.96,4.1,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,Trading near its 52-week low (bearish momentum),5,1
236745,2026-05-04 20:23:59,21STCENMGM.BO,10.0,,,,,,86400.0,2.0,35.05,35.05,35.05,,,1721952000.0,0.0,,0.624,1.0,1.0,1112.0,,,,,47.8107,0.0,0.0,356002048.0,2994329.0,10500000.0,0.72415,0.0,10500000.0,45.206,0.77533954,,-21.38,,-0.5195695,2.5,1721952000.0,BSE,EQUITY,4825000.0,0.46,-200763744.0,0.0,1819.0,1819.0,368024992.0,28.62,74.0,-2.4918244,34.3956,,,-147692992.0,,-14.069,,,0.0,0.0,1.66225,0.0,34.37,35.05,35.05,35.05,34.37,,,21STCENMGM.BO,TWENTYFIRST CENTURY MANAGEMENT,Twentyfirst Century Management Services Limited,Capital Markets,Financial Services,35.05,,,,,,none,,1.98,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),15,14
236746,2026-05-04 20:23:59,360ONE.BO,,,,,,,86400.0,2.0,1035.8,1032.7,1071.9,18.0,1.74,1777248000.0,0.4111,2.76,0.389,55402.0,55402.0,161138.0,0.07098,0.14392,14332699648.0,-29210599424.0,1097.5005,12.0,0.011595323,564184023040.0,260109320.0,406295220.0,0.17868,0.75475,406295220.0,242.533,4.3979583,0.157,29.18,41.62186,0.104423404,6.0,1777248000.0,BSE,EQUITY,14815899648.0,36.534,28223399936.0,159313100800.0,309262.0,309262.0,433374822400.0,861.75,1272.95,9.679464,1048.446,2.515,13.022,44772601856.0,161.977,111.032,0.11,0.269,0.72758,0.63036996,0.57660997,0.27163,1034.9,1035.8,1032.7,1071.9,1034.9,36.554146,25.62716,360ONE.BO,360 ONE WAM LIMITED,360 One Wam Limited,Asset Management,Financial Services,1066.65,1525.0,1200.0,1325.1818,1300.0,1.54545,buy,11.0,3.07,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,No strong momentum,12,8
236747,2026-05-04 20:23:59,3IINFOLTD.BO,4552.0,,,,,,86400.0,2.0,17.7,17.16,17.7,,,1309996800.0,0.0,3.81,-0.174,18961.0,18961.0,66259.0,,,,,18.40895,0.0,0.0,3263545344.0,175674545.0,207403767.0,0.11883,0.00225,207403767.0,18.252,0.94948494,-0.947,3.0,,-0.24892706,1.5,1309996800.0,BSE,EQUITY,455400000.0,2.341,-237624992.0,347900000.0,45372.0,45372.0,3594307072.0,12.61,27.43,0.5101347,14.9298,,,7045799936.0,10.763,11.765,-0.954,-0.051,0.09718,-0.03373,-0.0287,0.07819,17.5,17.7,17.16,17.7,17.5,5.7766666,,3IINFOLTD.BO,3I INFOTECH LTD.,,Information Technology Services,Technology,17.33,,,,,,none,,-0.97,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,No strong momentum,10,10
236748,2026-05-04 20:23:59,3MINDIA.BO,1213.0,,,,,,86400.0,2.0,33282.6,32850.0,33615.0,160.0,0.48,1753401600.0,0.4764,,0.297,114.0,114.0,437.0,,,,,32693.611,0.0,0.0,369736941568.0,2649315.0,11265070.0,0.7648,0.09552,11265070.0,1429.572,23.108105,,336.15,659.9,0.1020509,535.0,1753401600.0,BSE,EQUITY,6194625024.0,549.944,9462075392.0,1033188992.0,198.0,198.0,372138213376.0,28300.0,38300.0,7.612136,33180.77,,,48887488512.0,6.416,4339.756,,0.127,0.42343,0.19354999,0.17493999,0.07739,33282.6,33282.6,32850.0,33615.0,33282.6,98.27369,50.060158,3MINDIA.BO,3M INDIA LTD.,3M India Limited,Conglomerates,Industrials,33034.7,36726.0,36726.0,36726.0,36726.0,,none,1.0,-0.74,2.2,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,19,12
236749,2026-05-04 20:23:59,3PLAND.BO,1.0,,,,,,86400.0,2.0,35.87,33.0,35.87,,,1282089600.0,0.0,,-0.214,642.0,642.0,1072.0,,,,,40.14605,0.0,0.0,650181824.0,3745818.0,18000000.0,0.80564004,0.0,18000000.0,93.033,0.3572926,0.039,1.19,,-0.22106403,0.2,1282089600.0,BSE,EQUITY,2000000.0,0.11,28110500.0,0.0,289.0,289.0,598320000.0,26.41,58.69,13.044104,33.325,,,45869000.0,,2.564,0.048,0.041,1.0,0.61284,0.54639,0.46441,35.87,35.87,33.0,35.87,35.87,27.932774,,3PLAND.BO,3P LAND HOLDINGS LTD.,3P Land Holdings Limited,Real Estate Services,Real Estate,33.24,,,,,,none,,-7.33,2.1,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Highly Profitable with margins > 20%,Hold,Trading near its 52-week low (bearish momentum),15,13
236750,2026-05-04 20:23:59,5PAISA.BO,539.0,,,,,,86400.0,2.0,344.45,333.5,355.55,,,,0.0,,0.377,5396.0,5396.0,4035.0,,,,,338.1825,0.0,0.0,608101824.0,17247847.0,46879257.0,0.57843,0.07738,46879257.0,200.815,1.6853821,-0.24,13.89,,-0.08819151,,,BSE,EQUITY,12819201024.0,410.645,,2905526016.0,5795.0,5795.0,15866285056.0,245.0,431.8,5.611613,307.317,,,2827401984.0,46.389,90.503,-0.237,-0.11,0.99967,0.0,0.23244,0.15349,337.05,344.45,333.5,355.55,337.05,24.366451,,5PAISA.BO,5paisa Capital Limited,5paisa Capital Limited,Capital Markets,Financial Services,338.45,,,,,,none,,0.42,1.8,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,21,19
236751,2026-05-04 20:23:59,63MOONS.BO,378.0,,,,,,86400.0,2.0,749.9,732.0,756.45,1.2,0.16,1758067200.0,0.3854,5.9,0.891,10941.0,10941.0,22142.0,,,,,773.034,0.0,0.0,13112968192.0,18065790.0,115163508.0,0.58002,0.00491,115163508.0,757.762,0.984214,,-1.2,,0.11283958,1.2,1758067200.0,BSE,EQUITY,22212327424.0,482.564,-2638206720.0,52994000.0,25247.0,25247.0,85888942080.0,465.55,1130.0,86.37445,599.212,,,994379008.0,0.148,21.587,,1.281,-0.58775,-2.65312,-2.67391,-0.34127998,747.55,749.9,732.0,756.45,747.55,,,63MOONS.BO,63 Moons Technologies Limited,63 moons technologies limited,Software - Application,Technology,745.8,,,,,,none,,-0.23,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,2,2
236752,2026-05-04 20:23:59,7NR.BO,,,,,,,86400.0,2.0,5.8,5.65,5.95,,,1568851200.0,0.0,,0.576,103162.0,103162.0,82325.0,,,,,4.47805,0.0,0.0,196442944.0,20919308.0,28006800.0,0.21891001,0.0,28006800.0,10.524,0.53876853,-0.004,0.63,,0.24728847,,,BSE,EQUITY,9597000.0,0.346,15302250.0,46594000.0,277541.0,277541.0,158798560.0,2.75,8.33,0.56790847,4.0226,,,279620000.0,15.849,9.987,0.0,4.421,0.08991,0.05473,0.00103,0.06324,5.75,5.8,5.65,5.95,5.75,9.0,,7NR.BO,7NR Retail Limited,JPY/KMF,Apparel Retail,Consumer Cyclical,5.67,,,,,,none,,-1.39,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,13,3
