row_insert_order,PreviousDayDate,Symbol_Input,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,trailingPE,forwardPE,symbol,shortName,longName,industry,sector,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson,sector_rank,industry_rank
480179,2026-09-01 22:44:55,1STCUS.BO,,,,,,,86400.0,2.0,63.99,59.2,63.99,1.0,1.55,1758153600.0,0.3704,,-0.163,6.0,6.0,259.0,,,,,75.705,0.0,0.0,65168900.0,559180.0,1500000.0,0.61355,0.0,1500000.0,101.591,0.60625446,,-1.2,,-0.3385641,1.0,1758153600.0,BSE,EQUITY,27044792.0,18.141,,395996.0,395.0,395.0,92385000.0,54.55,103.0,18.121813,65.8596,,,5098000.0,0.263,3.4,,,1.0,0.0,-4.88362,-0.35269,64.49,63.99,59.2,63.99,64.49,,,1STCUS.BO,FIRST CUSTODIAN FUND (INDIA) L,The First Custodian Fund (India) Ltd.,Capital Markets,Financial Services,61.59,,,,,,none,,-4.5,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),3,3
480180,2026-09-01 22:44:55,20MICRONS.BO,411.0,,,,,,86400.0,2.0,217.5,212.0,218.7,1.25,0.73,1753315200.0,0.0684,,0.369,4812.0,4812.0,32740.0,,,,,216.672,0.0,0.0,7029148160.0,14445335.0,35286502.0,0.54675996,0.00016000001,35286503.0,128.709,1.6580037,0.16,18.27,,-0.106589675,1.25,1784246400.0,BSE,EQUITY,583459968.0,16.541,1173447936.0,1633657984.0,6732.0,6732.0,7530139648.0,158.0,284.1,0.8183025,191.44,,,9202146304.0,35.637,260.903,0.162,0.001,0.47129002,0.12752,0.10623,0.07001,217.85,217.5,212.0,218.7,217.85,11.680349,,20MICRONS.BO,20 MICRONS LTD.,20 Microns Limited,Other Industrial Metals & Mining,Basic Materials,213.4,,,,,,none,,-2.04,3.7,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,7,2
480181,2026-09-01 22:44:55,21STCENMGM.BO,8.0,,,,,,86400.0,2.0,40.82,40.01,40.82,,,1721952000.0,0.0,,0.504,108.0,108.0,1487.0,,,,,38.0004,0.0,0.0,384648992.0,2896425.0,10500000.0,0.73423,0.0,10500000.0,31.483,1.2708446,2.947,-16.4,,-0.23342723,2.5,1721952000.0,BSE,EQUITY,35456000.0,3.377,-171291744.0,0.0,2225.0,2225.0,420104992.0,28.62,55.0,-3.9849842,37.8758,,,-105422000.0,,-10.045,2.955,1.902,0.0,0.0,0.94581,0.0,40.82,40.82,40.01,40.82,40.82,,,21STCENMGM.BO,TWENTYFIRST CENTURY MANAGEMENT,Twentyfirst Century Management Services Limited,Capital Markets,Financial Services,40.01,,,,,,none,,-1.98,2.9,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,11,11
480182,2026-09-01 22:44:55,360ONE.BO,1780.0,,,,,,86400.0,2.0,1184.95,1150.15,1184.95,18.0,1.53,1777248000.0,0.3989,2.48,0.47,15944.0,15944.0,253754.0,,,,,1110.0916,12.0,0.010230179,615776845824.0,278608737.0,407564504.0,0.15174,0.66586995,407564504.0,242.533,4.7795553,0.161,30.03,40.95851,0.14455771,6.0,1777248000.0,BSE,EQUITY,14815899648.0,36.442,30186725376.0,159313100800.0,314944.0,314944.0,472448761856.0,906.2,1235.65,9.90388,1138.273,,,47703400448.0,161.977,117.646,0.128,0.299,0.72869,0.6328,0.6107,0.26455998,1173.0,1184.95,1150.15,1184.95,1173.0,38.601395,28.30181,360ONE.BO,360 ONE WAM LIMITED,360 One Wam Limited,Asset Management,Financial Services,1159.2,1521.0,1200.0,1310.1,1300.0,1.2,strong_buy,10.0,-1.18,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Buy,Trading near its 52-week high (bullish momentum),11,5
480183,2026-09-01 22:44:55,3IINFOLTD.BO,3153.0,,,,,,86400.0,2.0,22.9,22.5,23.3,,,1309996800.0,0.0,3.81,-0.276,31515.0,31515.0,86106.0,,,,,17.3126,0.0,0.0,4734054912.0,188373599.0,207403767.0,0.14395,0.0022200001,207403767.0,17.827,1.2727885,-0.152,1.79,,-0.014957249,14.210196,1309996800.0,BSE,EQUITY,776000000.0,3.724,-47850000.0,615699968.0,42101.0,42101.0,4705991680.0,12.61,27.78,0.671565,21.3588,,,7007499776.0,16.298,34.765,-0.295,0.043,0.08748,-0.0068300003,0.00298,0.04895,23.05,22.9,22.5,23.3,23.05,12.675979,,3IINFOLTD.BO,3I INFOTECH LTD.,3i Infotech Limited,Information Technology Services,Technology,22.69,,,,,,none,,-1.56,2.2,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,16,11
480184,2026-09-01 22:44:55,3MINDIA.BO,1273.0,,,,,,86400.0,2.0,33459.05,32992.35,33664.1,160.0,0.48,1784246400.0,0.312,,0.273,195.0,195.0,400.0,,,,,33972.234,0.0,0.0,368497328128.0,2649544.0,11265070.0,0.7648,0.09531,11265070.0,1569.586,21.204157,0.312,513.1,777.2,0.07196224,506.0,1784246400.0,BSE,EQUITY,8121399808.0,720.936,9959950336.0,1697500032.0,1135.0,1135.0,374921232384.0,28747.3,38300.0,7.0513678,34814.02,,,53169999872.0,9.6,4719.962,0.312,0.19,0.40658,0.18732001,0.15554,0.10865,33318.3,33459.05,32992.35,33664.1,33318.3,64.86407,42.82263,3MINDIA.BO,3M INDIA LTD.,3M India Limited,Conglomerates,Industrials,33281.75,37500.0,37500.0,37500.0,37500.0,2.0,buy,1.0,-0.11,2.5,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,18,12
480185,2026-09-01 22:44:55,3PLAND.BO,1.0,,,,,,86400.0,2.0,31.6,31.4,31.6,,,1282089600.0,0.0,,-0.202,215.0,215.0,364.0,,,,,33.8638,0.0,0.0,566828992.0,3708360.0,18000000.0,0.80564004,0.0,18000000.0,58.143,0.5434876,0.243,1.26,,-0.3005755,0.2,1282089600.0,BSE,EQUITY,1971000.0,0.11,31175000.0,0.0,351.0,351.0,568800000.0,26.41,54.0,11.816029,32.0436,,,48138000.0,,2.672,0.238,0.154,0.99853,0.64762,0.59048,0.47117,31.6,31.6,31.4,31.6,31.6,25.079365,,3PLAND.BO,3P LAND HOLDINGS LTD.,3P Land Holdings Limited,Real Estate Services,Real Estate,31.6,,,,,,none,,0.0,2.1,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,Trading near its 52-week low (bearish momentum),14,11
480186,2026-09-01 22:44:55,5PAISA.BO,609.0,,,,,,86400.0,2.0,361.7,342.85,361.7,,,,0.0,,0.662,5095.0,5095.0,5062.0,,,,,335.02,0.0,0.0,5465212416.0,24566286.0,46879257.0,0.71242,0.123500004,46879257.0,207.533,1.6669638,0.002,13.04,,-0.017778397,,,BSE,EQUITY,14177139712.0,318.604,,3785600000.0,6823.0,6823.0,16217879552.0,245.0,416.65,5.4642878,370.409,,,2967976960.0,58.31,85.854,-0.293,0.134,1.0,0.0,0.19328,0.14894,356.35,361.7,342.85,361.7,356.35,26.52991,,5PAISA.BO,5paisa Capital Limited,5paisa Capital Limited,Capital Markets,Financial Services,345.95,,,,,,none,,-2.92,2.1,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,17,16
480187,2026-09-01 22:44:55,63MOONS.BO,414.0,,,,,,86400.0,2.0,779.2,769.75,783.7,2.0,0.26,1789516800.0,0.3854,5.9,0.688,6276.0,6276.0,50877.0,,,,,684.126,0.0,0.0,17284450304.0,21346189.0,46078537.0,0.58129,0.01465,46078537.0,770.436,1.0085847,,-14.1,,-0.15469736,2.0,1789516800.0,BSE,EQUITY,19559452672.0,424.392,-2947534336.0,54222000.0,17143.0,17143.0,35805327360.0,465.55,1004.9,11.248553,753.919,,,3183105024.0,0.149,69.053,,3.505,0.07594,-0.92599,-0.58952,-0.20482,779.2,779.2,769.75,783.7,779.2,,,63MOONS.BO,63 Moons Technologies Limited,63 moons technologies limited,Software - Application,Technology,777.05,,,,,,none,,-0.28,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,3,1
480188,2026-09-01 22:44:55,7NR.BO,,,,,,,86400.0,2.0,6.7,6.48,7.05,,,1568851200.0,0.0,,0.541,51277.0,51277.0,154939.0,,,,,4.82795,0.0,0.0,232691264.0,25067486.0,28006800.0,0.28858,0.0,28006800.0,10.42,0.6669865,,0.49,,0.375,0.037128,1568851200.0,BSE,EQUITY,9406000.0,0.336,8703750.0,47450000.0,63695.0,63695.0,194647248.0,2.75,7.4,1.846643,6.1952,,,105406000.0,16.259,3.698,,-0.424,0.31487,0.08257,0.51383,0.13133,6.82,6.7,6.48,7.05,6.82,14.183673,,7NR.BO,7NR Retail Limited,7NR Retail Limited,Apparel Retail,Consumer Cyclical,6.95,,,,,,none,,1.91,2.2,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Buy,Trading near its 52-week high (bullish momentum),19,6
480189,2026-09-01 22:44:55,7TEC.BO,,,,,,,86400.0,2.0,34.69,33.05,34.69,1.5,4.42,1771200000.0,0.5814,3.99,0.561,5616.0,5616.0,22753.0,,,,,38.6455,0.0,0.0,317805792.0,3717048.0,10878748.0,0.63441,0.0,10878748.0,19.73,1.6806893,-0.446,2.58,,-0.29655743,1.5,1771200000.0,BSE,EQUITY,44311000.0,4.058,41309000.0,0.0,9740.0,9740.0,360739296.0,30.06,49.7,1.8753246,35.6906,,,192360992.0,,17.641,-0.448,0.075,0.35327,0.21475,0.18768999,0.1463,33.92,34.69,33.05,34.69,33.92,12.852714,,7TEC.BO,SAVEN TECHNOLOGIES LTD.,Saven Technologies Limited,Information Technology Services,Technology,33.16,,,,,,none,,-2.24,3.4,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,Trading near its 52-week low (bearish momentum),6,4
480190,2026-09-01 22:44:55,A2ZINFRA.BO,,,,,,,86400.0,2.0,16.74,16.53,16.75,,,1316649600.0,0.0,,0.048,8866.0,8866.0,44396.0,,,,,15.2587,0.0,0.0,1391084032.0,24994658.0,177522358.0,0.36766,0.0,177522358.0,2.802,5.92434,-0.948,0.21,,-0.20503086,2.0,1316649600.0,BSE,EQUITY,47456000.0,1.229,26759500.0,966489984.0,56684.0,56684.0,2946871040.0,11.6,22.6,0.8087417,14.4978,,,3643772928.0,301.806,26.449,-0.75,-0.244,0.12979001,0.0073400005,-0.0074400003,0.01005,16.75,16.74,16.53,16.75,16.75,79.04762,,A2ZINFRA.BO,A2Z INFRA ENGINEERING LIMITED,A2Z Infra Engineering Limited,Engineering & Construction,Industrials,16.6,,,,,,none,,-0.9,1.0,Strong Buy,Hold,Low Beta (less volatile than the market),,,Hold,No strong momentum,29,19
480191,2026-09-01 22:44:55,AAATECH.BO,,,,,,,86400.0,2.0,95.79,94.34,96.56,1.5,1.64,1756339200.0,0.8876,,0.323,3787.0,3787.0,2500.0,,,,,96.83935,0.0,0.0,1136168320.0,4739373.0,12826800.0,0.73677003,0.0,12826800.0,23.934,3.9416728,0.063,1.69,,0.18753159,1.5,1756339200.0,BSE,EQUITY,65973000.0,5.177,16712000.0,0.0,1365.0,1365.0,1210080256.0,75.0,136.67,5.9219832,93.5336,,,204336992.0,,15.978,0.063,-0.114,0.49607,0.08179,0.17938,0.10566,93.91,95.79,94.34,96.56,93.91,55.82248,,AAATECH.BO,AAA TECHNOLOGIES LIMITED,AAA Technologies Limited,Information Technology Services,Technology,94.34,,,,,,none,,0.46,2.5,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),,,Hold,No strong momentum,14,10
