row_insert_order,PreviousDayDate,Symbol_Input,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,trailingPE,forwardPE,symbol,shortName,longName,industry,sector,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson,sector_rank,industry_rank
482453,2025-12-01 16:27:47,20MICRONS.NS,411.0,,,,,,86400.0,2.0,192.04,190.27,195.57,1.25,0.65,1753315200.0,0.070700005,,0.583,41477.0,41477.0,91576.0,0.09020001,0.14787,69552752.0,984796992.0,217.4156,0.0,0.0,7848704000.0,14074747.0,35286502.0,0.56667,0.00016000001,35395517.0,128.709,1.4883186,0.06,17.68,,-0.21972108,1.25,1753315200.0,NSI,EQUITY,583459968.0,16.503,1175332992.0,1633657984.0,59179.0,59179.0,6780364800.0,158.2,283.93,0.73696125,208.4368,0.924,1.782,9200436224.0,35.637,260.792,0.058,-0.039,0.47194,0.12775,0.11436,0.067779996,191.34,192.04,190.27,195.57,191.34,10.834842,,20MICRONS.NS,20 MICRONS LTD,20 Microns Limited,Other Industrial Metals & Mining,Basic Materials,191.56,,,,,,none,,0.11,3.7,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,10,1
482454,2025-12-01 16:27:47,21STCENMGM.NS,10.0,,,,,,86400.0,2.0,39.01,39.01,39.01,2.5,4.15,1721952000.0,0.0,,0.561,670.0,670.0,6414.0,-0.13921,-0.28151,186043120.0,-345291008.0,60.0856,0.0,0.0,396825440.0,2995000.0,10500000.0,0.6443,0.0,10500000.0,45.206,0.86293846,,-19.14,,-0.5913025,2.5,1721952000.0,NSI,EQUITY,4825000.0,0.459,-172231008.0,0.0,7565.0,7565.0,409604992.0,36.03,101.71,-3.0166814,46.6088,5.25,7.873,-135780000.0,,-12.936,,,0.0,0.0,1.09396,0.0,38.25,39.01,39.01,39.01,38.25,,,21STCENMGM.NS,21ST CENTURY MGMT SERVICE,Twentyfirst Century Management Services Limited,Capital Markets,Financial Services,39.01,,,,,,none,,1.99,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),2,2
482455,2025-12-01 16:27:47,360ONE.NS,1207.0,,,,,,86400.0,2.0,1184.9,1181.2,1198.6,12.0,1.01,1761523200.0,0.21700001,3.12,0.325,560893.0,560893.0,803329.0,0.07476,0.16991,-21868011520.0,-26675300352.0,1048.98,12.0,0.010141988,603411316736.0,257896810.0,405057728.0,0.17489,0.62571996,405057728.0,231.141,5.1453443,0.285,27.69,31.77,0.033723593,6.0,1761523200.0,NSI,EQUITY,12794300416.0,31.633,25011400704.0,137646702592.0,1162574.0,1162574.0,481735180288.0,790.5,1318.0,12.216115,1102.518,0.643,3.157,39434399744.0,147.235,100.2,0.168,0.244,0.72323,0.63425,0.60828996,0.28559,1183.2,1184.9,1181.2,1198.6,1183.2,42.950523,37.43469,360ONE.NS,360 ONE WAM LIMITED,360 One Wam Limited,Asset Management,Financial Services,1189.3,1615.0,1220.0,1356.8182,1350.0,1.45455,strong_buy,11.0,0.52,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Buy,Trading near its 52-week high (bullish momentum),10,5
482456,2025-12-01 16:27:47,3IINFOLTD.NS,4552.0,,,,,,86400.0,2.0,16.97,16.75,17.1,,,1309996800.0,0.0,3.81,0.013,384576.0,384576.0,687859.0,-0.017,0.23164,54400000.0,268700000.0,22.62222,0.0,0.0,2895476736.0,161441431.0,207396267.0,0.118669994,0.00207,207738129.0,18.252,0.9220907,,3.94,,-0.40372455,14.216695,1309996800.0,NSI,EQUITY,455400000.0,2.545,-191500000.0,347900000.0,364381.0,364381.0,3496232704.0,16.69,34.88,0.48977134,19.101418,0.869,1.327,7138500096.0,10.763,41.811,,-0.015,0.09585,-0.02683,-0.05867,0.09835,16.97,16.97,16.75,17.1,16.97,4.2715735,,3IINFOLTD.NS,3I INFOTECH LIMITED,3i Infotech Limited,Information Technology Services,Technology,16.83,,,,,,none,,-0.82,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),13,10
482457,2025-12-01 16:27:47,3MINDIA.NS,1213.0,,,,,,86400.0,2.0,35175.0,34700.0,35175.0,160.0,0.46,1753401600.0,0.32529998,,-0.046,1715.0,1715.0,9829.0,0.19186,0.33832002,5096061952.0,5931417088.0,30018.266,0.0,0.0,387315793920.0,2649559.0,11265070.0,0.7648,0.09382,11265070.0,1429.572,24.353443,0.43,491.24,,0.09952712,535.0,1753401600.0,NSI,EQUITY,6194625024.0,549.894,8733680640.0,1033188992.0,4910.0,4910.0,392193409024.0,25718.15,37000.0,8.255581,31864.6,1.525,2.281,47506456576.0,6.416,4217.117,0.43,0.14,0.41501,0.18384,0.19014,0.11665,34840.0,35175.0,34700.0,35175.0,34840.0,70.87167,53.3645,3MINDIA.NS,3M INDIA LIMITED,3M India Limited,Conglomerates,Industrials,34815.0,35700.0,35700.0,35700.0,35700.0,,none,1.0,-0.07,2.5,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Buy,Trading near its 52-week high (bullish momentum),11,9
482458,2025-12-01 16:27:47,3PLAND.NS,,,,,,,86400.0,2.0,39.7,39.0,41.0,,,,,,,4147.0,4147.0,8389.0,,,,,44.7797,,,,,,,,,,,,,,,,,NSI,EQUITY,,,,,20994.0,20994.0,,34.05,82.06,,42.2664,,,,,,,,,,,,40.07,39.7,39.0,41.0,40.07,,,3PLAND.NS,3P LAND HOLDINGS LIMITED,3P Land Holdings Ltd,Unknown,Unknown,,,,,,,,,,2.6,Hold,Hold,High Beta (more volatile),,,,,2,2
482459,2025-12-01 16:27:47,5PAISA.NS,539.0,,,,,,86400.0,2.0,332.05,325.35,336.0,,,,0.0,,0.157,63900.0,63900.0,358253.0,0.02546,0.07865,,-1264254976.0,365.9835,0.0,0.0,533349184.0,10435484.0,31239338.0,0.57308,0.11568,31239338.0,200.815,1.6413116,-0.567,15.14,15.5,-0.31642854,,,NSI,EQUITY,12819201024.0,411.006,,2905526016.0,1084609.0,1084609.0,10296485888.0,287.65,519.0,3.53208,328.328,6.932,6.992,2915133952.0,46.389,93.304,-0.565,-0.269,0.99968004,0.0,0.18379,0.16217,334.95,332.05,325.35,336.0,334.95,21.770145,21.264517,5PAISA.NS,5PAISA CAPITAL LIMITED,5paisa Capital Limited,Capital Markets,Financial Services,329.6,,,,,,none,,-1.6,1.8,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,Trading near its 52-week low (bearish momentum),15,13
482460,2025-12-01 16:27:47,63MOONS.NS,378.0,,,,,,86400.0,2.0,895.0,852.0,903.85,1.2,0.13,1758067200.0,0.3854,5.9,0.423,1262894.0,1262894.0,265808.0,-0.04561,-0.01773,-1200462080.0,-1651331968.0,845.6745,0.0,0.0,20564514816.0,18101870.0,46078537.0,0.5798,0.0049799997,46081288.0,757.762,1.1389459,,-7.08,,0.3229872,1.2,1758067200.0,NSI,EQUITY,22212327424.0,481.749,-2625664000.0,52994000.0,1042415.0,1042415.0,39770456064.0,591.25,1130.0,47.148098,805.255,8.641,9.924,843521984.0,0.148,18.306,,-0.466,-0.7051,0.0,-4.61615,-0.36594,907.9,895.0,852.0,903.85,907.9,,,63MOONS.NS,63 MOONS TECHNOLOGIES LTD,63 moons technologies limited,Software - Application,Technology,863.05,,,,,,none,,-4.94,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,4,2
482461,2025-12-01 16:27:47,A2ZINFRA.NS,6218.0,,,,,,86400.0,2.0,15.6,15.16,16.05,,,1316649600.0,0.0,,0.172,111886.0,111886.0,216285.0,0.01581,-0.018609999,-219231248.0,86006000.0,17.56185,0.0,0.0,3225257984.0,104148614.0,176119858.0,0.37048,0.0,176642469.0,2.693,5.737096,,0.14,,-0.07471609,2.0,1316649600.0,NSI,EQUITY,43846000.0,0.267,184408992.0,912934976.0,244300.0,244300.0,2729126144.0,12.35,26.8,0.7571616,17.1764,0.236,0.793,3604417024.0,353.886,21.121,,0.208,0.13999,0.05116,0.04593,0.00711,15.48,15.6,15.16,16.05,15.48,110.35714,,A2ZINFRA.NS,A2Z INFRA ENGINEERING LTD,A2Z Infra Engineering Limited,Engineering & Construction,Industrials,15.45,,,,,,none,,-0.19,1.0,Strong Buy,Hold,Low Beta (less volatile than the market),Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum),23,18
482462,2025-12-01 16:27:47,AAATECH.NS,128.0,,,,,,86400.0,2.0,92.32,90.0,93.5,1.5,1.66,1756339200.0,0.5461,,0.229,24686.0,24686.0,201383.0,0.05815,0.11717,32173750.0,33768000.0,84.14095,0.0,0.0,911662144.0,7414942.0,12826800.0,0.49848998,0.0,12826800.0,24.003,3.8757653,0.007,2.74,,-0.20706314,1.5,1756339200.0,NSI,EQUITY,249282000.0,19.381,34296000.0,0.0,127293.0,127293.0,1193277184.0,66.0,136.0,4.0141463,90.2258,9.407,9.664,297268000.0,,23.173,0.0,0.823,0.65985,0.11537,0.14103,0.11853,90.26,92.32,90.0,93.5,90.26,33.952553,,AAATECH.NS,AAA TECHNOLOGIES LIMITED,AAA Technologies Limited,Information Technology Services,Technology,93.03,,,,,,none,,3.07,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,10,8
