row_insert_order,PreviousDayDate,Symbol_Input,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,trailingPE,forwardPE,symbol,shortName,longName,industry,sector,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson,sector_rank,industry_rank
1,2026-01-01 16:27:23,20MICRONS.NS,411.0,,,,,,86400.0,2.0,214.47,208.41,214.47,1.25,0.59,1753315200.0,0.070700005,,0.607,163722.0,163722.0,284000.0,0.09020001,0.14787,69552752.0,984796992.0,218.6134,0.0,0.0,8606375936.0,15015562.0,35286502.0,0.54675996,0.00016000001,35395517.0,128.709,1.647748,0.06,17.68,,-0.14429921,1.25,1753315200.0,NSI,EQUITY,583459968.0,16.503,1175332992.0,1633657984.0,1505036.0,1505036.0,7506681344.0,158.2,283.93,0.8159049,199.2168,0.924,1.782,9200436224.0,35.637,260.792,0.058,-0.039,0.47194,0.12775,0.11436,0.067779996,212.77,214.47,208.41,214.47,212.77,11.995475,,20MICRONS.NS,20 MICRONS LTD,20 Microns Limited,Other Industrial Metals & Mining,Basic Materials,212.08,,,,,,none,,-0.32,3.7,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,9,1
2,2026-01-01 16:27:23,21STCENMGM.NS,10.0,,,,,,86400.0,2.0,48.66,48.66,50.64,2.5,4.15,1721952000.0,0.0,,0.605,18636.0,18636.0,7201.0,-0.13921,-0.28151,186043120.0,-345291008.0,57.6185,0.0,0.0,516533024.0,2995000.0,10500000.0,0.71266,0.0,10500000.0,45.206,1.0845904,,-19.14,,-0.44457847,2.5,1721952000.0,NSI,EQUITY,4825000.0,0.459,-172231008.0,0.0,9606.0,9606.0,514814976.0,36.03,94.75,-3.7915375,44.8186,5.25,7.873,-135780000.0,,-12.936,,,0.0,0.0,1.09396,0.0,49.65,48.66,48.66,50.64,49.65,,,21STCENMGM.NS,21ST CENTURY MGMT SERVICE,Twentyfirst Century Management Services Limited,Capital Markets,Financial Services,49.03,,,,,,none,,-1.25,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,Trading near its 52-week low (bearish momentum),3,2
3,2026-01-01 16:27:23,360ONE.NS,1207.0,,,,,,86400.0,2.0,1198.0,1171.3,1198.0,12.0,1.01,1761523200.0,0.21700001,3.05,0.308,132441.0,132441.0,786422.0,0.07476,0.16991,-21868011520.0,-26675300352.0,1070.7853,12.0,0.010084034,606161600512.0,257925123.0,405270365.0,0.17467,0.68154997,405270365.0,231.141,5.103811,0.285,27.61,35.58906,-0.07835102,6.0,1761523200.0,NSI,EQUITY,12794300416.0,31.633,25011400704.0,137646702592.0,682871.0,682871.0,478097440768.0,790.5,1318.0,12.123868,1134.706,0.643,3.157,39434399744.0,147.235,100.2,0.168,0.244,0.72323,0.63425,0.60828996,0.28559,1190.0,1198.0,1171.3,1198.0,1190.0,42.72727,33.147823,360ONE.NS,360 ONE WAM LIMITED,360 One Wam Limited,Asset Management,Financial Services,1179.7,1615.0,1220.0,1352.2727,1350.0,,none,11.0,-0.87,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,No strong momentum,10,5
4,2026-01-01 16:27:23,3IINFOLTD.NS,4552.0,,,,,,86400.0,2.0,16.76,16.58,16.94,,,1309996800.0,0.0,3.81,0.024,150536.0,150536.0,661093.0,-0.017,0.23164,54400000.0,268700000.0,21.84817,0.0,0.0,2831061248.0,161575630.0,207396267.0,0.11883,0.00207,207738129.0,18.252,0.91277665,,3.94,,-0.48102856,14.216695,1309996800.0,NSI,EQUITY,455400000.0,2.545,-191500000.0,347900000.0,321959.0,321959.0,3460917248.0,15.6,34.88,0.48482415,17.2602,0.869,1.327,7138500096.0,10.763,41.811,,-0.015,0.09585,-0.02683,-0.05867,0.09835,16.61,16.76,16.58,16.94,16.61,4.2284265,,3IINFOLTD.NS,3I INFOTECH LIMITED,3i Infotech Limited,Information Technology Services,Technology,16.66,,,,,,none,,0.3,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),13,10
5,2026-01-01 16:27:23,3MINDIA.NS,1213.0,,,,,,86400.0,2.0,35185.0,34750.0,36065.0,160.0,0.46,1753401600.0,0.32529998,,-0.085,4965.0,4965.0,9550.0,0.19186,0.33832002,5096061952.0,5931417088.0,30832.71,0.0,0.0,390413713408.0,2649559.0,11265070.0,0.7648,0.097440004,11265070.0,1429.572,25.182362,0.43,491.61,652.4,0.13992965,535.0,1753401600.0,NSI,EQUITY,6194625024.0,549.894,8733680640.0,1033188992.0,3545.0,3545.0,405542535168.0,25718.15,37000.0,8.536577,34186.9,1.525,2.281,47506456576.0,6.416,4217.117,0.43,0.14,0.41501,0.18384,0.19014,0.11665,35115.0,35185.0,34750.0,36065.0,35115.0,73.22878,55.18087,3MINDIA.NS,3M INDIA LIMITED,3M India Limited,Conglomerates,Industrials,36000.0,35700.0,35700.0,35700.0,35700.0,,none,1.0,2.52,2.5,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Buy,Trading near its 52-week high (bullish momentum),13,8
6,2026-01-01 16:27:23,3PLAND.NS,,,,,,,86400.0,2.0,37.2,35.91,37.9,,,,,,,5262.0,5262.0,9232.0,,,,,44.29785,,,,,,,,,,,,,,,,,NSI,EQUITY,,,,,7166.0,7166.0,,34.05,62.9,,39.7628,,,,,,,,,,,,36.63,37.2,35.91,37.9,36.63,,,3PLAND.NS,3P LAND HOLDINGS LIMITED,3P Land Holdings Ltd,Unknown,Unknown,,,,,,,,,,2.6,Hold,Hold,High Beta (more volatile),,,,,2,2
7,2026-01-01 16:27:23,5PAISA.NS,539.0,,,,,,86400.0,2.0,335.6,333.0,385.9,,,,0.0,,0.14,2719742.0,2719742.0,419825.0,0.02546,0.07865,,-1264254976.0,362.9885,0.0,0.0,499040384.0,10813504.0,31239338.0,0.57308,0.1159,31298804.0,200.815,1.871374,-0.567,15.12,15.5,-0.30592173,,,NSI,EQUITY,12819201024.0,411.006,,2905526016.0,274849.0,274849.0,11762089984.0,287.65,487.7,4.034837,317.794,6.932,6.992,2915133952.0,46.389,93.304,-0.565,-0.269,0.99968004,0.0,0.18379,0.16217,333.85,335.6,333.0,385.9,333.85,24.854496,24.245161,5PAISA.NS,5PAISA CAPITAL LIMITED,5paisa Capital Limited,Capital Markets,Financial Services,375.8,,,,,,none,,12.57,1.8,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,16,13
8,2026-01-01 16:27:23,63MOONS.NS,378.0,,,,,,86400.0,2.0,718.9,714.35,747.0,1.2,0.17,1758067200.0,0.3854,5.9,0.401,157035.0,157035.0,288687.0,-0.04561,-0.01773,-1200462080.0,-1651331968.0,850.152,0.0,0.0,11854776320.0,18101870.0,46078537.0,0.5798,0.0049900003,46081288.0,757.762,0.96204346,,-7.05,,-0.21022004,1.2,1758067200.0,NSI,EQUITY,22212327424.0,481.749,-2625664000.0,52994000.0,74095.0,74095.0,33593257984.0,591.25,1130.0,39.824993,769.492,8.641,9.924,843521984.0,0.148,18.306,,-0.466,-0.7051,0.0,-4.61615,-0.36594,719.0,718.9,714.35,747.0,719.0,,,63MOONS.NS,63 MOONS TECHNOLOGIES LTD,63 moons technologies limited,Software - Application,Technology,729.0,,,,,,none,,1.39,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,No strong momentum,4,2
9,2026-01-01 16:27:23,A2ZINFRA.NS,6218.0,,,,,,86400.0,2.0,16.63,15.8,16.99,,,1316649600.0,0.0,,0.197,278731.0,278731.0,246940.0,0.01581,-0.018609999,-219231248.0,86006000.0,17.3692,0.0,0.0,3413953792.0,105802574.0,176119858.0,0.37048,0.0,176642469.0,2.693,5.8782024,,0.14,,-0.36626595,2.0,1316649600.0,NSI,EQUITY,43846000.0,0.267,184408992.0,912934976.0,252737.0,252737.0,2796250112.0,12.35,26.8,0.7757843,16.1754,0.236,0.793,3604417024.0,353.886,21.121,,0.208,0.13999,0.05116,0.04593,0.00711,16.63,16.63,15.8,16.99,16.63,113.07143,,A2ZINFRA.NS,A2Z INFRA ENGINEERING LTD,A2Z Infra Engineering Limited,Engineering & Construction,Industrials,15.83,,,,,,none,,-4.81,1.0,Strong Buy,Hold,Low Beta (less volatile than the market),Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum),24,20
10,2026-01-01 16:27:23,AAATECH.NS,128.0,,,,,,86400.0,2.0,103.5,101.26,104.5,1.5,1.41,1756339200.0,0.5461,,0.243,29207.0,29207.0,171871.0,0.05815,0.11717,32173750.0,33768000.0,85.91475,0.0,0.0,1121573632.0,7414942.0,12826800.0,0.49848998,0.0,12826800.0,24.003,4.2186394,0.007,2.75,,-0.03620851,1.5,1756339200.0,NSI,EQUITY,249282000.0,19.381,34296000.0,0.0,21338.0,21338.0,1298841856.0,66.0,136.0,4.369262,93.1884,9.407,9.664,297268000.0,,23.173,0.0,0.823,0.65985,0.11537,0.14103,0.11853,106.58,103.5,101.26,104.5,106.58,36.82182,,AAATECH.NS,AAA TECHNOLOGIES LIMITED,AAA Technologies Limited,Information Technology Services,Technology,101.26,,,,,,none,,-4.99,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,10,8
